,ema_9,ema_21,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,rsi_14,atr_14,adx_14,bb_upper,bb_middle,bb_lower,bb_width,obv,hmm_regime_high,hmm_regime_duration,ema_alignment,trend_strong_bull,volume_percentile,volume_trend
ema_9,1.0,0.9999382089775215,0.9996600079588013,0.999114529031047,0.9979775734369387,0.02344305338682036,0.027785918267175018,-0.00859348115738715,-0.001438526568168049,0.6446465280982896,-0.03174867452567006,0.9996633376998304,0.9999024662193308,0.999677611021037,-0.09526797524487085,0.7830456442830916,0.3460919343896383,-0.2555626551349149,0.006013763878804449,-0.013299131632516734,-0.005865644165814399,0.005116205898343559
ema_21,0.9999382089775215,1.0,0.9998546489085852,0.9993946597114628,0.9983153482188942,0.013107469415649026,0.01860908303033626,-0.014179223180808062,-0.009185921466606127,0.6459046238009968,-0.030779336816203567,0.9997627016497218,0.9999846529654032,0.9997421312035343,-0.09462554140742722,0.7828624717434275,0.34657608121791794,-0.2554029956903742,-0.0006187294742268369,-0.018131331854957664,-0.005455445597616844,0.005501198708832899
ema_50,0.9996600079588013,0.9998546489085852,1.0,0.9997928460812807,0.998935082560603,-0.0010979790651112242,0.003272665641525951,-0.013549057984111993,-0.017815348005855602,0.6483581053371389,-0.029076837449675225,0.9996457430996941,0.9998254258546173,0.9995396013462836,-0.09292991044572127,0.7823925535098295,0.34819669677112247,-0.2549288922734682,-0.010337804654446123,-0.02655432784987083,-0.005010143821875141,0.005534173716686469
ema_100,0.999114529031047,0.9993946597114628,0.9997928460812807,1.0,0.9995811893331236,-0.011237671924865012,-0.008744258222834589,-0.009835718199102417,-0.02362771561812506,0.6509397975912034,-0.027747262948606796,0.9992154217823433,0.9993401169004373,0.9989980901955006,-0.09059791242731274,0.7815266776363172,0.35039653641075513,-0.2541894529630985,-0.019949524333184004,-0.03382582060950337,-0.004902646713229088,0.005447181429247154
ema_200,0.9979775734369387,0.9983153482188942,0.998935082560603,0.9995811893331236,1.0,-0.01850176500737042,-0.017705546517456632,-0.0061007730614490345,-0.027875296952739218,0.653248487193862,-0.02712190596559746,0.998180796266294,0.998238637438911,0.9978285206599955,-0.08764136146626997,0.7796449975717822,0.3526999748894478,-0.2531777573431572,-0.02993515189918498,-0.03983908083262232,-0.005269325947469688,0.005257888523601692
macd,0.02344305338682036,0.013107469415649026,-0.0010979790651112242,-0.011237671924865012,-0.01850176500737042,1.0,0.9515276886412359,0.3463255065564498,0.7015178173354145,-0.12101004238594344,-0.09192079596134786,0.010110798399939508,0.012028598253213842,0.013991061528158334,-0.07012899708386458,0.03634242728489532,-0.05680440253274218,-0.019989752476492383,0.6334923477953749,0.5050541310812837,-0.03976612701717207,-0.02718994649554847
macd_signal,0.027785918267175018,0.01860908303033626,0.003272665641525951,-0.008744258222834589,-0.017705546517456632,0.9515276886412359,1.0,0.04100893729362392,0.5787902082678495,-0.12890633136411941,-0.10081587450425268,0.016825725611735145,0.019027943464201877,0.021278995668603383,-0.08436060624329765,0.038924745670440346,-0.07473212473027688,-0.02469044829384294,0.5839074935596097,0.5292719745353678,-0.03444613009330779,-0.008320700228124638
macd_hist,-0.00859348115738715,-0.014179223180808062,-0.013549057984111993,-0.009835718199102417,-0.0061007730614490345,0.3463255065564498,0.04100893729362392,1.0,0.5135734901047454,6.710987910923423e-05,0.008887133076434463,-0.01847478686953339,-0.018961664974179924,-0.01945240036633969,0.029489549340131628,-0.0006633093098615347,0.043407891475067815,0.010370322879391198,0.27697538958377116,0.02637378822727507,-0.024119486675374613,-0.06295067668146884
rsi_14,-0.001438526568168049,-0.009185921466606127,-0.017815348005855602,-0.02362771561812506,-0.027875296952739218,0.7015178173354145,0.5787902082678495,0.5135734901047454,1.0,-0.06131010406076124,-0.026747699365921654,-0.011231625433816173,-0.010942447583941323,-0.010640535814675358,-0.002795230364262469,0.013838982736777602,-0.014707511219088771,0.03339240947659874,0.8048317504909697,0.48388163899908404,-0.00825133451208064,-0.011402836206870081
atr_14,0.6446465280982896,0.6459046238009968,0.6483581053371389,0.6509397975912034,0.653248487193862,-0.12101004238594344,-0.12890633136411941,6.710987910923423e-05,-0.06131010406076124,1.0,0.14735466749088696,0.6576549712668653,0.6457432371265738,0.6332152592827355,0.41668879188741226,0.5292413647460279,0.6430942740139542,-0.22831977025479888,-0.07749711952016781,-0.0030922544691391316,0.1267661211166771,0.037025290058592494
adx_14,-0.03174867452567006,-0.030779336816203567,-0.029076837449675225,-0.027747262948606796,-0.02712190596559746,-0.09192079596134786,-0.10081587450425268,0.008887133076434463,-0.026747699365921654,0.14735466749088696,1.0,-0.022269710289629676,-0.030889649323547572,-0.039721236576919824,0.4498788921985524,-0.03047306402886515,0.2158132029900457,-0.03813813738516134,-0.08768060971158549,0.4100945508216807,0.2735587835918408,0.03612054731744812
bb_upper,0.9996633376998304,0.9997627016497218,0.9996457430996941,0.9992154217823433,0.998180796266294,0.010110798399939508,0.016825725611735145,-0.01847478686953339,-0.011231625433816173,0.6576549712668653,-0.022269710289629676,1.0,0.9997738282403995,0.9990715244009656,-0.07761799580929601,0.7830217327779558,0.3592923429777634,-0.2568788104072885,-0.002642340549321324,-0.014451064296564859,-0.00029581880103479827,0.007331121950872561
bb_middle,0.9999024662193308,0.9999846529654032,0.9998254258546173,0.9993401169004373,0.998238637438911,0.012028598253213842,0.019027943464201877,-0.018961664974179924,-0.010942447583941323,0.6457432371265738,-0.030889649323547572,0.9997738282403995,1.0,0.9997618022031243,-0.09483549533375132,0.7828216244686268,0.346254987751588,-0.2554601270686761,-0.001375356153722355,-0.017881538084582902,-0.005421566277418232,0.005768603425877109
bb_lower,0.999677611021037,0.9997421312035343,0.9995396013462836,0.9989980901955006,0.9978285206599955,0.013991061528158334,0.021278995668603383,-0.01945240036633969,-0.010640535814675358,0.6332152592827355,-0.039721236576919824,0.9990715244009656,0.9997618022031243,1.0,-0.11246015765225412,0.7822481014396546,0.3327127045429101,-0.2538840754442141,-7.448093577925499e-05,-0.021393613187089475,-0.010679256771633606,0.004162373493940576
bb_width,-0.09526797524487085,-0.09462554140742722,-0.09292991044572127,-0.09059791242731274,-0.08764136146626997,-0.07012899708386458,-0.08436060624329765,0.029489549340131628,-0.002795230364262469,0.41668879188741226,0.4498788921985524,-0.07761799580929601,-0.09483549533375132,-0.11246015765225412,1.0,-0.10268658255285576,0.5090557514621691,-0.1389086701127309,-0.047626134900702444,0.18212800152667935,0.24142662584379,0.06964324402081978
obv,0.7830456442830916,0.7828624717434275,0.7823925535098295,0.7815266776363172,0.7796449975717822,0.03634242728489532,0.038924745670440346,-0.0006633093098615347,0.013838982736777602,0.5292413647460279,-0.03047306402886515,0.7830217327779558,0.7828216244686268,0.7822481014396546,-0.10268658255285576,1.0,0.258459388109918,-0.346192843899684,0.0235243591617663,-0.00669452479799559,-0.00845866488753767,0.005516758568741536
hmm_regime_high,0.3460919343896383,0.34657608121791794,0.34819669677112247,0.35039653641075513,0.3526999748894478,-0.05680440253274218,-0.07473212473027688,0.043407891475067815,-0.014707511219088771,0.6430942740139542,0.2158132029900457,0.3592923429777634,0.346254987751588,0.3327127045429101,0.5090557514621691,0.258459388109918,1.0,-0.11795198287102929,-0.06077236454866356,0.06617696367949302,0.2529054167746651,0.19015225075140368
hmm_regime_duration,-0.2555626551349149,-0.2554029956903742,-0.2549288922734682,-0.2541894529630985,-0.2531777573431572,-0.019989752476492383,-0.02469044829384294,0.010370322879391198,0.03339240947659874,-0.22831977025479888,-0.03813813738516134,-0.2568788104072885,-0.2554601270686761,-0.2538840754442141,-0.1389086701127309,-0.346192843899684,-0.11795198287102929,1.0,0.017174278428899983,0.0024927762557383332,-0.005998921982845393,-0.007111547609975998
ema_alignment,0.006013763878804449,-0.0006187294742268369,-0.010337804654446123,-0.019949524333184004,-0.02993515189918498,0.6334923477953749,0.5839074935596097,0.27697538958377116,0.8048317504909697,-0.07749711952016781,-0.08768060971158549,-0.002642340549321324,-0.001375356153722355,-7.448093577925499e-05,-0.047626134900702444,0.0235243591617663,-0.06077236454866356,0.017174278428899983,1.0,0.47638345225489653,-0.025323920379853287,-0.019108747587576018
trend_strong_bull,-0.013299131632516734,-0.018131331854957664,-0.02655432784987083,-0.03382582060950337,-0.03983908083262232,0.5050541310812837,0.5292719745353678,0.02637378822727507,0.48388163899908404,-0.0030922544691391316,0.4100945508216807,-0.014451064296564859,-0.017881538084582902,-0.021393613187089475,0.18212800152667935,-0.00669452479799559,0.06617696367949302,0.0024927762557383332,0.47638345225489653,1.0,0.14321610046396677,0.04222347466125772
volume_percentile,-0.005865644165814399,-0.005455445597616844,-0.005010143821875141,-0.004902646713229088,-0.005269325947469688,-0.03976612701717207,-0.03444613009330779,-0.024119486675374613,-0.00825133451208064,0.1267661211166771,0.2735587835918408,-0.00029581880103479827,-0.005421566277418232,-0.010679256771633606,0.24142662584379,-0.00845866488753767,0.2529054167746651,-0.005998921982845393,-0.025323920379853287,0.14321610046396677,1.0,0.531952464569094
volume_trend,0.005116205898343559,0.005501198708832899,0.005534173716686469,0.005447181429247154,0.005257888523601692,-0.02718994649554847,-0.008320700228124638,-0.06295067668146884,-0.011402836206870081,0.037025290058592494,0.03612054731744812,0.007331121950872561,0.005768603425877109,0.004162373493940576,0.06964324402081978,0.005516758568741536,0.19015225075140368,-0.007111547609975998,-0.019108747587576018,0.04222347466125772,0.531952464569094,1.0
