Feature_1,Feature_2,Correlation
bb_middle,ema_21,0.9999846529654032
ema_21,ema_9,0.9999382089775215
bb_middle,ema_9,0.9999024662193308
ema_50,ema_21,0.9998546489085852
bb_middle,ema_50,0.9998254258546173
ema_100,ema_50,0.9997928460812807
bb_middle,bb_upper,0.9997738282403995
bb_upper,ema_21,0.9997627016497218
bb_lower,bb_middle,0.9997618022031243
bb_lower,ema_21,0.9997421312035343
bb_lower,ema_9,0.999677611021037
bb_upper,ema_9,0.9996633376998304
ema_50,ema_9,0.9996600079588013
bb_upper,ema_50,0.9996457430996941
ema_200,ema_100,0.9995811893331236
bb_lower,ema_50,0.9995396013462836
ema_100,ema_21,0.9993946597114628
bb_middle,ema_100,0.9993401169004373
bb_upper,ema_100,0.9992154217823433
ema_100,ema_9,0.999114529031047
bb_lower,bb_upper,0.9990715244009656
bb_lower,ema_100,0.9989980901955006
ema_200,ema_50,0.998935082560603
ema_200,ema_21,0.9983153482188942
bb_middle,ema_200,0.998238637438911
bb_upper,ema_200,0.998180796266294
ema_200,ema_9,0.9979775734369387
bb_lower,ema_200,0.9978285206599955
macd_signal,macd,0.9515276886412359
ema_alignment,rsi_14,0.8048317504909697
